Episode,Total Steps,Episode Reward,Average Reward,Best Reward,Actor Loss,Critic Loss,Actor LR,Buffer Size
137,10258,1.349999999999926,2.7594999999999943,17.55000000000025,0,4.793778419494629,3e-05,10258
138,10354,3.050000000000142,2.7439999999999958,17.55000000000025,0,4.321138381958008,3e-05,10354
139,10447,5.000000000000181,2.7954999999999983,17.55000000000025,-17.575782775878906,4.844831466674805,3e-05,10447
140,10497,-2.249999999999983,2.737999999999997,17.55000000000025,-18.063329696655273,3.9221670627593994,3e-05,10497
141,10547,-2.249999999999983,2.6839999999999975,17.55000000000025,-17.79187774658203,4.623699188232422,3e-05,10547
142,10601,-1.5500000000000442,2.621499999999994,17.55000000000025,-17.739377975463867,4.779553413391113,3e-05,10601
143,10733,1.1000000000004597,2.6134999999999993,17.55000000000025,-17.88701820373535,4.498838424682617,3e-05,10733
144,10788,-1.6500000000000368,2.5609999999999995,17.55000000000025,0,4.930592060089111,3e-05,10788
145,10847,-0.9500000000000499,2.514999999999998,17.55000000000025,-17.763280868530273,4.920285224914551,3e-05,10847
146,10902,-1.649999999999995,2.491999999999998,17.55000000000025,0,4.9229736328125,3e-05,10902
147,10978,-2.1000000000000734,2.447499999999998,17.55000000000025,0,4.897060394287109,3e-05,10978
148,11043,0.09999999999994369,2.412499999999998,17.55000000000025,-17.84034538269043,5.031125068664551,3e-05,11043
149,11093,-2.250000000000022,2.3834999999999984,17.55000000000025,-17.97360610961914,4.352412700653076,3e-05,11093
150,11176,-3.900000000000051,2.326999999999997,17.55000000000025,0,4.793827056884766,3e-05,11176
151,11259,-2.8000000000000833,2.2719999999999962,17.55000000000025,-17.752933502197266,4.654702663421631,3e-05,11259
152,11309,-2.249999999999983,2.204499999999995,17.55000000000025,-17.778507232666016,4.846901893615723,3e-05,11309
153,11417,-3.650000000000113,2.1659999999999946,17.55000000000025,-17.76511001586914,4.325966835021973,3e-05,11417
154,11502,-0.2500000000000826,2.1364999999999945,17.55000000000025,0,4.392870903015137,3e-05,11502
155,11557,-1.6500000000000306,2.116999999999995,17.55000000000025,-17.51708221435547,4.4768452644348145,3e-05,11557
156,11646,-2.8500000000000894,2.0784999999999947,17.55000000000025,0,4.462308406829834,3e-05,11646
157,11717,1.1499999999999373,2.066499999999995,17.55000000000025,-17.827682495117188,5.070915699005127,3e-05,11717
158,11776,-0.9500000000000455,2.0344999999999955,17.55000000000025,0,4.630993843078613,3e-05,11776
159,11873,1.2999999999999785,2.039499999999996,17.55000000000025,-17.831356048583984,4.1995134353637695,3e-05,11873
160,11926,-1.9999999999999956,1.9879999999999967,17.55000000000025,0,4.473694324493408,3e-05,11926
161,11979,-2.000000000000017,1.968999999999997,17.55000000000025,-17.962448120117188,4.375179290771484,3e-05,11979
162,12070,0.2499999999999103,1.9479999999999966,17.55000000000025,0,4.506636619567871,3e-05,12070
163,12125,-1.6500000000000457,1.924999999999997,17.55000000000025,-17.73410987854004,4.1041975021362305,3e-05,12125
164,12183,-1.95000000000005,1.864999999999996,17.55000000000025,-17.750043869018555,4.865344047546387,3e-05,12183
165,12235,-1.9000000000000057,1.8259999999999967,17.55000000000025,-17.85748863220215,4.18418025970459,3e-05,12235
166,12336,5.850000000000183,1.908,17.55000000000025,0,4.555351257324219,3e-05,12336
167,12383,-2.499999999999984,1.8425000000000005,17.55000000000025,-17.6202335357666,4.454610824584961,3e-05,12383
168,12437,-1.5500000000000442,1.7920000000000007,17.55000000000025,-17.786235809326172,4.5619401931762695,3e-05,12437
169,12487,-2.2500000000000027,1.7630000000000012,17.55000000000025,-17.939212799072266,4.061178207397461,3e-05,12487
170,12541,-1.5500000000000274,1.7330000000000014,17.55000000000025,-17.670162200927734,4.157735347747803,3e-05,12541
171,12601,-1.050000000000047,1.6809999999999994,17.55000000000025,-17.949195861816406,4.871847152709961,3e-05,12601
172,12671,1.7999999999999394,1.6924999999999988,17.55000000000025,-17.77452850341797,4.451227188110352,3e-05,12671
173,12723,-1.9000000000000332,1.641999999999999,17.55000000000025,-18.093252182006836,4.755349636077881,3e-05,12723
174,12779,-1.2000000000000464,1.5984999999999994,17.55000000000025,-17.893173217773438,4.297235012054443,3e-05,12779
175,12845,0.549999999999943,1.5624999999999998,17.55000000000025,-17.6746768951416,4.676638603210449,3e-05,12845
176,12904,-0.9500000000000481,1.55,17.55000000000025,0,4.2517242431640625,3e-05,12904
177,12981,3.8500000000000467,1.5570000000000013,17.55000000000025,-17.95827865600586,4.281396865844727,3e-05,12981
178,13033,-1.900000000000019,1.5270000000000017,17.55000000000025,-18.01827621459961,4.503870964050293,3e-05,13033
179,13088,-1.6500000000000457,1.4869999999999999,17.55000000000025,0,4.739731788635254,3e-05,13088
180,13163,2.9499999999999345,1.4814999999999996,17.55000000000025,-17.74379539489746,4.134381294250488,3e-05,13163
181,13257,-3.900000000000067,1.4394999999999993,17.55000000000025,-17.66263198852539,4.66412353515625,3e-05,13257
182,13321,0.1999999999999451,1.442999999999999,17.55000000000025,-17.626056671142578,4.161191463470459,3e-05,13321
183,13375,-1.550000000000007,1.3879999999999992,17.55000000000025,-17.746950149536133,4.493525981903076,3e-05,13375
184,13449,0.8499999999999366,1.2914999999999965,17.55000000000025,-17.91545295715332,4.635256767272949,3e-05,13449
185,13526,-2.7500000000000746,1.2254999999999954,17.55000000000025,0,4.204936504364014,3e-05,13526
186,13573,-2.499999999999984,1.1534999999999938,17.55000000000025,-17.961530685424805,4.084264755249023,3e-05,13573
187,13633,-0.5000000000000506,1.116999999999994,17.55000000000025,-17.548789978027344,4.724018096923828,3e-05,13633
188,13733,4.300000000000153,1.1159999999999937,17.55000000000025,-18.058500289916992,4.24921989440918,3e-05,13733
189,13806,-0.7000000000000668,1.0674999999999915,17.55000000000025,0,4.3941850662231445,3e-05,13806
190,13853,-2.499999999999984,0.9884999999999898,17.55000000000025,-17.673980712890625,5.043438911437988,3e-05,13853
191,13912,-0.9500000000000499,0.9374999999999877,17.55000000000025,0,4.820312023162842,3e-05,13912
192,13976,0.1999999999999451,0.9234999999999878,17.55000000000025,0,4.6110615730285645,3e-05,13976
193,14089,1.3500000000001497,0.9339999999999898,17.55000000000025,-17.864988327026367,4.187354564666748,3e-05,14089
194,14140,-2.3499999999999845,0.8034999999999879,17.55000000000025,0,5.039902687072754,3e-05,14140
